"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821382195,1.1882497902409,-5.70954715880617,5.63771439034699e-07,6.71898912962664e-05
"ACACB",20934.4242554714,-5.18996150712534,0.955604406881302,-5.43107741001659,5.80948683570925e-06,0.00047671813031281
"ADH1A",1129.85774853476,-8.59998323771559,1.26915279071948,-6.77616068025999,1.06068149424625e-09,3.21572577229287e-07
"ADH1B",121455.243509557,-7.89878996368326,1.44011779603798,-5.48482213428251,8.32424864362536e-07,9.52657886162184e-05
"ADH1C",639.461889115022,-5.7454950835415,0.954157451893129,-6.02153771596286,3.28787100702304e-07,4.27200743401242e-05
"ADRA1A",134.885667454895,-5.9925979386276,0.963551750139293,-6.21927980283498,1.1008233508321e-07,1.78490475205522e-05
"ADRB2",745.534635806452,-4.34414011933828,0.799041967446259,-5.4366858016509,1.42465780891721e-05,0.00100899637688108
"AGTR1",1403.88687727783,-4.00812405734191,0.821790606883688,-4.87730575619636,0.000125886514650157,0.00555369542415967
"ABCD2",1515.18307558519,-6.45113849071108,0.988061674470596,-6.52908483083063,1.72415734085504e-08,3.77153962117924e-06
"ANGPT1",1271.08965962945,-3.73879005255586,0.630743600570606,-5.92759094055578,7.05441475476e-06,0.000559207987967925
"ANK2",3490.9282083904,-3.12994660454617,0.548211898415185,-5.70937371770747,5.11098919764206e-05,0.00288637269034158
"AOX1",2219.04674833068,-4.20812537498988,0.585046165679023,-7.19280908388793,2.08446311838035e-08,4.33995266852179e-06
"APLP1",461.21281645092,4.01292489122306,0.593480686202405,6.76167731236744,1.92020721371038e-07,2.81212719153636e-05
"APOB",786.311864964263,-6.93796679592093,1.03607113048879,-6.69641937870402,4.98511955775721e-09,1.26688016290592e-06
"AQP7",5638.39472753209,-8.1892986342061,1.06026844188964,-7.72379739946884,5.98223478374343e-12,4.78829357502238e-09
"ABCC6",618.647546114642,-3.45188964054395,0.699069122125796,-4.93783737729269,0.00022628518885473,0.00876779001927936
"ASPA",331.311076963058,-5.44378088702994,0.813481485860888,-6.69195425052473,2.34513052182294e-08,4.76778829972026e-06
"ATP1A2",5050.25301489267,-8.28626419843029,0.789972613739777,-10.4893056471953,1.43860546356943e-20,1.24302705079716e-16
"KIF1A",486.85875495772,5.55411782845059,1.18249071765601,4.69696526621387,5.87628881541533e-05,0.0032034115778925
"BMP3",206.472552960009,-5.63390271763748,1.08603485140716,-5.18758924756208,9.91496538725969e-06,0.000758143879899269
"BUB1",1267.38529933137,5.13328884072934,0.951452001814454,5.39521576594507,6.98956279880706e-06,0.000556620436526197
"BUB1B",818.37992473692,4.30918730175482,0.879048975179062,4.90210150222522,8.34392822067088e-05,0.00407320405597213
"C6",1609.18560299474,-6.06275967621789,1.35570966257834,-4.47201922621656,9.41769073696951e-05,0.00441049088416179
"CA3",925.817048303315,-4.76601796906528,1.01459115343968,-4.69747637056314,0.000102878446319508,0.00474091314892646
"CA4",703.689949509509,-9.39970053051716,0.686000379471548,-13.7021797826965,8.99410742590579e-35,1.55427170427078e-30
"CA9",324.531315982061,6.08748850510707,1.39526695751456,4.36295611554575,0.000133237954377994,0.00578513841609578
"CASQ2",402.70859374858,-4.37033978770267,0.903841177510718,-4.83529617420075,9.61574233539359e-05,0.00447896612662902
"CAV1",34051.5414263478,-3.41415002102935,0.60254032034852,-5.66625984308327,3.079693612118e-05,0.00192826758373229
"CAV2",9243.81723852368,-3.01386764697121,0.57840563665721,-5.2106470891074,0.000249068124142542,0.00939769924302895
"CD36",87850.5157676665,-6.28737852460384,0.867889884094526,-7.24444268775353,5.56767864112268e-10,1.88656969798512e-07
"CDK1",1562.02927498266,3.54174885306263,0.668697343828484,5.29649008740651,7.20435013027712e-05,0.00370322144242541
"CDC6",1137.50805203499,3.74269942652479,0.765109977438152,4.89171431152502,0.000168725037906901,0.0069422318573075
"CDC20",1514.11708425023,5.07437319344009,1.02291043264246,4.96072093069926,3.40098876458052e-05,0.00207676631945993
"CDH2",244.946231089258,3.18537966473122,0.590380168246802,5.39547199593536,0.000107101758086755,0.00487059337236108
"CDKN3",447.492105454576,4.16829146429298,0.892434869738537,4.67069542622667,0.00019249803188079,0.00776647112095827
"CDO1",3072.63197290145,-4.6246664694913,0.941554487900878,-4.91173535777162,5.91416414260192e-05,0.00321392045749383
"CEBPA",6629.32748730235,-4.02784382088447,0.757081129705295,-5.32022746684014,3.17563389986824e-05,0.00196695804385746
"CENPA",300.059627371574,4.4037506567076,0.960022040924077,4.58713495001504,0.000195949368242546,0.00785661492482467
"CENPE",790.273590786286,3.50808713945115,0.688244002753782,5.09715613273009,0.000134121254237042,0.0057943734861758
"CENPF",3531.69504023609,3.65785593085597,0.761621187259771,4.8027234431549,0.000241750568786246,0.00924268048494493
"CES1",5781.81326884817,-4.89901852705546,0.577418063055598,-8.48435274284751,7.26568799688621e-12,5.45905888148654e-09
"CHIT1",570.601275579274,-5.84461999675377,1.20990088151742,-4.83066016897487,3.1128629026682e-05,0.00194199941592091
"CIDEA",4806.82629384398,-8.80162642844746,1.29278267708889,-6.80827998737351,7.96038387291369e-10,2.54747025384855e-07
"CKMT2",315.620655840062,-4.48977494143503,0.696610561769829,-6.44517207724812,2.7264588635077e-07,3.70991619057296e-05
"CMA1",155.286680594356,-5.47091239644456,1.04869505474911,-5.21687631849608,1.00713670545116e-05,0.00076671054655954
"CNTFR",1909.83744468076,-6.65284748666576,1.09870471978185,-6.0551733026019,1.33754453957172e-07,2.027553262135e-05
"COL10A1",4375.94741759555,7.03381190159878,0.814682844306513,8.63380387933198,6.49201021250274e-14,1.60269183546086e-10
"COL11A1",9281.82763020736,9.66860817137229,1.12086350171527,8.62603533487916,5.21644164664534e-15,1.80290656191356e-11
"COMP",4512.9720154486,4.72937324981473,0.889586357827516,5.3163734000648,1.38097971643726e-05,0.000982086851018613
"CPA1",89.1090541511921,-8.84048262152296,1.26741123701746,-6.97522821584482,3.08127330935853e-10,1.18327742353389e-07
"CPM",8707.12631331505,-4.07904842703914,0.812883863218231,-5.01799655720815,7.59911580086924e-05,0.00385103578166631
"CRHBP",297.38247177635,-6.39848124895969,0.914852563324613,-6.99400264640166,1.80728782310872e-09,5.11995751985931e-07
"HAPLN1",411.046589800237,6.07013306425199,1.33877998907124,4.53407812620731,7.62631013500174e-05,0.00385351653342003
"CSN1S1",28.5058179973372,-5.39637401415519,1.05457848587401,-5.11709093864435,1.53080277101296e-05,0.00106668559217238
"CST1",439.02464147324,10.0386629278326,1.38589523715793,7.24345005212586,3.47131799616098e-11,1.93509181585993e-08
"CTSG",273.827889909128,-3.91296969456567,0.745887327405281,-5.24606002917052,4.70397191664686e-05,0.00270064248144765
"AKR1C1",6314.65575923952,-4.8950310999205,0.783147376332263,-6.25045968084008,3.28670729678246e-07,4.27200743401242e-05
"AKR1C2",7138.50577063993,-5.42710788122569,0.648696679735294,-8.36617181922415,4.40793928423005e-12,3.80867993853898e-09
"CFD",10647.416866439,-6.16551539472325,0.750207384787909,-8.21841469404665,2.88025841741258e-12,2.61967082691088e-09
"DPP6",84.1924650618496,-5.07286109856238,0.788150405172599,-6.43641247313888,1.18547438237904e-07,1.87946631210021e-05
"DPT",14240.1400023798,-4.69518470392793,0.806577957423254,-5.82111705473265,2.31034804238752e-06,0.000221806247336104
"EPYC",135.935250885001,7.12788601481586,1.25780330392756,5.66693217656421,5.52715368894407e-07,6.70653354306793e-05
"E2F2",387.22756603568,3.91397578895602,0.825465783107038,4.74153607460735,0.000207703553919176,0.00822602499342909
